Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SW_SPST_TL3342,1,SW_Push,
"C1, C2, C3",0402,3,100n,
"C4, C5",0603,2,10u,
"C6, C7",0402,2,12p,
C8,0402,1,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D9",D_SOD-123,86,D,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,
R1,0402,1,10k,
"R2, R3",0402,2,22,
SW1,SW_Hotswap_Kailh_MX_Plated_2.00u,1,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW19, SW2, SW20, SW21, SW22, SW23, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW38, SW39, SW4, SW40, SW42, SW43, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW57, SW58, SW59, SW6, SW60, SW62, SW64, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW87, SW88, SW89, SW9, SW90",SW_Hotswap_Kailh_MX_Plated_1.00u,77,SW_Push,
"SW24, SW37",SW_Hotswap_Kailh_MX_Plated_1.50u,2,SW_Push,
"SW41, SW97",SW_Hotswap_Kailh_MX_Plated_1.75u,2,SW_Push,
"SW44, SW63, SW84, SW86",SW_Hotswap_Kailh_MX_Plated_1.25u,4,SW_Push,
"SW56, SW61",SW_Hotswap_Kailh_MX_Plated_2.25u,2,SW_Push,
SW85,SW_Hotswap_Kailh_MX_Plated_6.25u,1,SW_Push,
SW91,Stabilizer_Cherry_MX_6.25u,1,SW_Push,
"SW92, SW93, SW94, SW95",Stabilizer_Cherry_MX_2.00u,4,SW_Push,
SW96,SW_Hotswap_Kailh_MX_Plated_2.75u,1,SW_Push,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
